StudentID,Věk,Studijní Obor,Ročník,Předmět,Známka
3527,19,Softwarový vývoj,2,Umělá inteligence,2
3265,20,Business Management,3,Marketing,1
6196,27,Softwarový vývoj,2,Algoritmy,2
8299,19,Business Management,3,Účetnictví,2
1752,20,Softwarový vývoj,1,Databáze,4
8312,27,Softwarový vývoj,2,Software Engineering,5
4360,26,Business Management,1,Strategické řízení,2
1969,23,Softwarový vývoj,2,Anglický jazyk,3
8421,19,Softwarový vývoj,2,Bezpečnost softwaru,1
7874,20,Softwarový vývoj,3,Umělá inteligence,5
1908,28,Softwarový vývoj,1,Operační systémy,5
5372,22,Softwarový vývoj,2,Operační systémy,4
4262,22,Softwarový vývoj,2,Cloud Computing,3
1870,20,Business Management,3,Obchodní právo,4
4147,23,Business Management,2,Veřejné finance,1
1133,24,Softwarový vývoj,3,Web Development,2
5026,28,Business Management,3,Marketing,2
2312,23,Business Management,3,Anglický jazyk,3
9816,30,Softwarový vývoj,3,Umělá inteligence,1
7237,21,Business Management,1,Obchodní právo,2
1645,19,Softwarový vývoj,3,Databáze,5
6377,19,Business Management,3,Management,2
8511,25,Business Management,2,Inovace v podnikání,5
3488,27,Softwarový vývoj,2,Bezpečnost softwaru,1
8169,29,Business Management,3,Management,3
5110,24,Business Management,2,Účetnictví,2
3900,26,Business Management,2,Inovace v podnikání,4
3695,19,Softwarový vývoj,3,Programování,1
7430,29,Softwarový vývoj,1,Databáze,3
5220,24,Softwarový vývoj,2,Systémová architektura,2
3244,20,Softwarový vývoj,2,Bezpečnost softwaru,1
1522,27,Business Management,1,Anglický jazyk,4
5366,19,Business Management,2,Podniková etika,3
2591,19,Softwarový vývoj,2,Bezpečnost softwaru,3
6049,18,Business Management,2,Obchodní právo,3
9059,26,Business Management,2,Obchodní právo,2
6924,19,Softwarový vývoj,2,Algoritmy,4
7738,27,Business Management,2,Veřejné finance,1
7653,30,Business Management,2,Anglický jazyk,3
7203,19,Softwarový vývoj,1,Databáze,3
6547,18,Softwarový vývoj,3,Data Science,5
2345,21,Softwarový vývoj,2,Programování,4
8743,22,Softwarový vývoj,1,Data Science,3
8380,18,Business Management,1,Marketing,2
1645,20,Softwarový vývoj,2,Bezpečnost softwaru,2
8703,22,Business Management,1,Účetnictví,4
9064,29,Softwarový vývoj,1,Umělá inteligence,5
7607,22,Softwarový vývoj,1,Programování,3
7908,25,Business Management,3,Matematika,3
8753,26,Business Management,1,Finance,4
4089,19,Softwarový vývoj,3,Anglický jazyk,2
3358,20,Business Management,3,Management,4
3140,29,Softwarový vývoj,1,Operační systémy,1
8296,30,Business Management,1,Podniková etika,2
8564,25,Softwarový vývoj,1,Matematika,5
5262,22,Business Management,3,Finance,3
8780,26,Business Management,3,Strategické řízení,1
3666,26,Softwarový vývoj,2,Cloud Computing,4
1588,24,Softwarový vývoj,1,Matematika,4
6639,22,Business Management,3,Inovace v podnikání,5
5753,25,Softwarový vývoj,3,Algoritmy,4
2466,25,Business Management,2,Mezinárodní obchod,2
8801,23,Business Management,1,Veřejné finance,3
7934,24,Business Management,1,Strategické řízení,2
7719,26,Softwarový vývoj,3,Umělá inteligence,4
1243,19,Business Management,2,Lidské zdroje,2
9732,23,Business Management,3,Veřejné finance,3
8459,21,Business Management,2,Marketing,5
6986,30,Business Management,3,Projektový management,5
4574,24,Softwarový vývoj,2,Systémová architektura,2
1402,26,Business Management,2,Strategické řízení,4
7368,29,Business Management,3,Lidské zdroje,2
6743,30,Softwarový vývoj,1,Operační systémy,2
5617,19,Business Management,2,Mezinárodní obchod,5
1742,28,Business Management,1,Finance,1
7184,27,Softwarový vývoj,2,Cloud Computing,2
6874,28,Business Management,1,Anglický jazyk,5
3770,18,Softwarový vývoj,1,Bezpečnost softwaru,3
9762,28,Softwarový vývoj,1,Programování,4
1499,18,Softwarový vývoj,1,Databáze,1
4514,24,Softwarový vývoj,2,Software Engineering,3
4283,23,Softwarový vývoj,2,Systémová architektura,3
4491,27,Softwarový vývoj,3,UI/UX Design,3
8734,24,Business Management,2,Veřejné finance,2
1147,25,Softwarový vývoj,3,Data Science,4
6067,20,Business Management,2,Management,3
6506,22,Business Management,3,Management,5
8381,26,Business Management,1,Marketing,5
2312,25,Business Management,3,Finance,3
8137,28,Business Management,3,Anglický jazyk,3
